# Station Soma
# Location (Grid) 74,696
time,height,momentumX,momentumY
0,20,0,0
1.41906,19.9999,0.00561687,-0.000830529
2.83811,19.9998,0.0112219,-0.00166028
4.25717,19.9997,0.016814,-0.00248911
5.67622,19.9997,0.0223935,-0.00331677
7.09528,19.9996,0.0279601,-0.00414356
8.51433,19.9995,0.0335133,-0.00496882
9.93339,19.9994,0.039053,-0.00579252
11.3524,19.9993,0.0445791,-0.00661509
12.7715,19.9993,0.0500915,-0.00743608
14.1906,19.9992,0.0555895,-0.0082556
15.6096,19.9991,0.0610732,-0.00907386
17.0287,19.9991,0.0665425,-0.0098903
18.4477,19.999,0.0719966,-0.0107052
19.8668,19.999,0.0774355,-0.0115188
21.2858,19.9989,0.0828584,-0.0123306
22.7049,19.9988,0.0882657,-0.0131406
24.1239,19.9988,0.0936565,-0.0139488
25.543,19.9987,0.0990309,-0.0147558
26.962,19.9987,0.104388,-0.015561
28.3811,19.9986,0.109728,-0.0163647
29.8002,19.9985,0.115051,-0.0171671
31.2192,19.9985,0.120355,-0.0179684
32.6383,19.9984,0.125642,-0.0187682
34.0573,19.9984,0.13091,-0.0195663
35.4764,19.9983,0.136159,-0.0203628
36.8954,19.9982,0.14139,-0.021158
38.3145,19.9982,0.146601,-0.0219514
39.7335,19.9981,0.151792,-0.0227431
41.1526,19.998,0.156963,-0.0235335
42.5717,19.998,0.162114,-0.0243225
43.9907,19.9979,0.167244,-0.0251097
45.4098,19.9979,0.172354,-0.0258959
46.8288,19.9978,0.177442,-0.026681
48.2479,19.9977,0.18251,-0.027465
49.6669,19.9977,0.187556,-0.0282473
51.086,19.9976,0.19258,-0.0290281
52.505,19.9975,0.197583,-0.0298069
53.9241,19.9974,0.202563,-0.0305841
55.3432,19.9974,0.207521,-0.0313599
56.7622,19.9973,0.212456,-0.0321342
58.1813,19.9972,0.217368,-0.0329071
59.6003,19.9971,0.222257,-0.0336787
61.0194,19.9971,0.227123,-0.0344491
62.4384,19.997,0.231965,-0.0352186
63.8575,19.9969,0.236783,-0.035987
65.2765,19.9968,0.241577,-0.0367545
66.6956,19.9967,0.246348,-0.0375211
68.1147,19.9966,0.251094,-0.0382863
69.5337,19.9965,0.255815,-0.03905
70.9528,19.9964,0.260513,-0.0398126
72.3718,19.9963,0.265186,-0.040574
73.7909,19.9962,0.269835,-0.0413342
75.2099,19.9961,0.274459,-0.0420931
76.629,19.996,0.279059,-0.0428509
78.048,19.9959,0.283634,-0.0436072
79.4671,19.9958,0.288183,-0.0443623
80.8861,19.9957,0.292708,-0.0451163
82.3052,19.9956,0.297208,-0.0458694
83.7243,19.9955,0.301684,-0.0466214
85.1433,19.9954,0.306134,-0.0473722
86.5624,19.9953,0.310558,-0.0481218
87.9814,19.9952,0.314958,-0.0488703
89.4005,19.995,0.319332,-0.0496177
90.8195,19.9949,0.32368,-0.0503641
92.2386,19.9948,0.328003,-0.0511094
93.6576,19.9947,0.3323,-0.0518536
95.0767,19.9945,0.336572,-0.0525967
96.4958,19.9944,0.340818,-0.0533387
97.9148,19.9943,0.345039,-0.0540796
99.3339,19.9941,0.349234,-0.0548191
100.753,19.994,0.353403,-0.0555575
102.172,19.9939,0.357547,-0.0562948
103.591,19.9937,0.361665,-0.057031
105.01,19.9936,0.365758,-0.057766
106.429,19.9934,0.369826,-0.0584997
107.848,19.9933,0.373868,-0.0592319
109.267,19.9931,0.377884,-0.0599629
110.686,19.993,0.381876,-0.0606926
112.105,19.9928,0.385842,-0.0614217
113.524,19.9926,0.389783,-0.0621494
114.943,19.9925,0.393698,-0.0628759
116.363,19.9923,0.397589,-0.0636014
117.782,19.9921,0.401455,-0.0643256
119.201,19.992,0.405295,-0.0650486
120.62,19.9918,0.409111,-0.0657704
122.039,19.9916,0.412901,-0.0664912
123.458,19.9914,0.416667,-0.067211
124.877,19.9913,0.420407,-0.0679297
126.296,19.9911,0.424123,-0.068647
127.715,19.9909,0.427814,-0.0693629
129.134,19.9907,0.43148,-0.0700777
130.553,19.9905,0.435123,-0.0707914
131.972,19.9903,0.438741,-0.0715041
133.391,19.9901,0.442334,-0.0722156
134.81,19.9899,0.445904,-0.0729261
136.229,19.9897,0.44945,-0.0736353
137.648,19.9895,0.452973,-0.0743431
139.067,19.9893,0.456472,-0.075049
140.486,19.9891,0.459947,-0.0757532
141.906,19.9889,0.463399,-0.0764563
143.325,19.9887,0.466828,-0.0771579
144.744,19.9885,0.470234,-0.0778584
146.163,19.9883,0.473617,-0.0785571
147.582,19.988,0.476977,-0.0792547
149.001,19.9878,0.480315,-0.0799512
150.42,19.9876,0.48363,-0.0806469
151.839,19.9874,0.486923,-0.0813415
153.258,19.9871,0.490194,-0.082035
154.677,19.9869,0.493443,-0.0827272
156.096,19.9867,0.49667,-0.0834182
157.515,19.9864,0.499876,-0.0841077
158.934,19.9862,0.50306,-0.0847957
160.353,19.986,0.506223,-0.0854826
161.772,19.9857,0.509365,-0.086168
163.191,19.9855,0.512486,-0.0868523
164.61,19.9852,0.515586,-0.0875349
166.029,19.985,0.518665,-0.0882163
167.449,19.9847,0.521725,-0.0888963
168.868,19.9845,0.524764,-0.0895751
170.287,19.9842,0.527783,-0.0902523
171.706,19.984,0.530782,-0.0909281
173.125,19.9837,0.533762,-0.0916022
174.544,19.9835,0.536722,-0.0922751
175.963,19.9832,0.539663,-0.0929467
177.382,19.9829,0.542585,-0.0936168
178.801,19.9827,0.545487,-0.0942855
180.22,19.9824,0.548371,-0.0949531
181.639,19.9821,0.551236,-0.0956195
183.058,19.9818,0.554082,-0.0962847
184.477,19.9816,0.55691,-0.0969485
185.896,19.9813,0.55972,-0.0976111
187.315,19.981,0.562511,-0.0982727
188.734,19.9807,0.565285,-0.0989329
190.153,19.9804,0.56804,-0.0995921
191.572,19.9802,0.570778,-0.10025
192.992,19.9799,0.573498,-0.100907
194.411,19.9796,0.576201,-0.101562
195.83,19.9793,0.578887,-0.102215
197.249,19.979,0.581556,-0.102867
198.668,19.9787,0.584208,-0.103518
200.087,19.9784,0.586843,-0.104167
201.506,19.9781,0.589462,-0.104814
202.925,19.9778,0.592064,-0.10546
204.344,19.9775,0.59465,-0.106105
205.763,19.9772,0.59722,-0.106748
207.182,19.9769,0.599774,-0.10739
208.601,19.9766,0.602312,-0.108031
210.02,19.9762,0.604834,-0.10867
211.439,19.9759,0.607341,-0.109308
212.858,19.9756,0.609832,-0.109944
214.277,19.9753,0.612309,-0.110579
215.696,19.975,0.61477,-0.111213
217.115,19.9747,0.617217,-0.111844
218.535,19.9743,0.61965,-0.112474
219.954,19.974,0.622068,-0.113103
221.373,19.9737,0.624472,-0.113731
222.792,19.9733,0.626862,-0.114356
224.211,19.973,0.629239,-0.114981
225.63,19.9727,0.631602,-0.115604
227.049,19.9723,0.633952,-0.116225
228.468,19.972,0.636288,-0.116845
229.887,19.9717,0.638612,-0.117463
231.306,19.9713,0.640922,-0.11808
232.725,19.971,0.64322,-0.118696
234.144,19.9706,0.645505,-0.119311
235.563,19.9703,0.647778,-0.119924
236.982,19.9699,0.650038,-0.120535
238.401,19.9696,0.652285,-0.121146
239.82,19.9692,0.654521,-0.121755
241.239,19.9689,0.656745,-0.122362
242.658,19.9685,0.658956,-0.122968
244.077,19.9682,0.661156,-0.123573
245.497,19.9678,0.663344,-0.124177
246.916,19.9675,0.665521,-0.124778
248.335,19.9671,0.667686,-0.125378
249.754,19.9667,0.669841,-0.125977
251.173,19.9664,0.671984,-0.126575
252.592,19.966,0.674117,-0.12717
254.011,19.9656,0.67624,-0.127765
255.43,19.9653,0.678352,-0.128358
256.849,19.9649,0.680455,-0.12895
258.268,19.9645,0.682548,-0.12954
259.687,19.9641,0.68463,-0.13013
261.106,19.9638,0.686703,-0.130717
262.525,19.9634,0.688766,-0.131304
263.944,19.963,0.69082,-0.131888
265.363,19.9626,0.692864,-0.132472
266.782,19.9622,0.694899,-0.133054
268.201,19.9619,0.696925,-0.133635
269.62,19.9615,0.698941,-0.134214
271.04,19.9611,0.700948,-0.134792
272.459,19.9607,0.702946,-0.135368
273.878,19.9603,0.704935,-0.135943
275.297,19.9599,0.706917,-0.136517
276.716,19.9595,0.708889,-0.13709
278.135,19.9592,0.710853,-0.137661
279.554,19.9588,0.712809,-0.138232
280.973,19.9584,0.714756,-0.138801
282.392,19.958,0.716696,-0.139369
283.811,19.9576,0.718628,-0.139936
285.23,19.9572,0.720551,-0.140503
286.649,19.9568,0.722468,-0.141068
288.068,19.9564,0.724376,-0.141632
289.487,19.956,0.726278,-0.142195
290.906,19.9556,0.728173,-0.142757
292.325,19.9552,0.73006,-0.143317
293.744,19.9547,0.73194,-0.143876
295.163,19.9543,0.733813,-0.144434
296.583,19.9539,0.73568,-0.144991
298.002,19.9535,0.737539,-0.145547
299.421,19.9531,0.739392,-0.146102
300.84,19.9527,0.741239,-0.146655
302.259,19.9523,0.743079,-0.147207
303.678,19.9519,0.744913,-0.147758
305.097,19.9514,0.74674,-0.148307
306.516,19.951,0.74856,-0.148855
307.935,19.9506,0.750375,-0.149402
309.354,19.9502,0.752183,-0.149948
310.773,19.9498,0.753985,-0.150492
312.192,19.9493,0.755782,-0.151036
313.611,19.9489,0.757572,-0.151578
315.03,19.9485,0.759357,-0.15212
316.449,19.948,0.761136,-0.152661
317.868,19.9476,0.76291,-0.1532
319.287,19.9472,0.764678,-0.153738
320.706,19.9468,0.76644,-0.154276
322.126,19.9463,0.768198,-0.154812
323.545,19.9459,0.769949,-0.155347
324.964,19.9455,0.771696,-0.155881
326.383,19.945,0.773438,-0.156414
327.802,19.9446,0.775174,-0.156945
329.221,19.9441,0.776905,-0.157476
330.64,19.9437,0.778631,-0.158005
332.059,19.9433,0.780352,-0.158532
333.478,19.9428,0.782068,-0.159059
334.897,19.9424,0.78378,-0.159584
336.316,19.9419,0.785486,-0.160109
337.735,19.9415,0.787188,-0.160633
339.154,19.941,0.788886,-0.161155
340.573,19.9406,0.790579,-0.161676
341.992,19.9401,0.792268,-0.162195
343.411,19.9397,0.793953,-0.162714
344.83,19.9392,0.795633,-0.16323
346.249,19.9388,0.79731,-0.163746
347.669,19.9383,0.798982,-0.16426
349.088,19.9379,0.800651,-0.164773
350.507,19.9374,0.802315,-0.165284
351.926,19.937,0.803976,-0.165795
353.345,19.9365,0.805633,-0.166304
354.764,19.9361,0.807286,-0.166811
356.183,19.9356,0.808935,-0.167318
357.602,19.9351,0.810581,-0.167822
359.021,19.9347,0.812223,-0.168326
360.44,19.9342,0.813862,-0.168829
361.859,19.9338,0.815497,-0.169332
363.278,19.9333,0.817129,-0.169833
364.697,19.9328,0.818758,-0.170333
366.116,19.9324,0.820383,-0.170833
367.535,19.9319,0.822005,-0.171332
368.954,19.9314,0.823624,-0.171829
370.373,19.931,0.825239,-0.172326
371.792,19.9305,0.826852,-0.172821
373.212,19.93,0.828462,-0.173316
374.631,19.9295,0.830068,-0.173809
376.05,19.9291,0.831672,-0.174301
377.469,19.9286,0.833273,-0.174792
378.888,19.9281,0.834872,-0.175282
380.307,19.9276,0.836467,-0.175771
381.726,19.9272,0.838059,-0.176259
383.145,19.9267,0.839649,-0.176746
384.564,19.9262,0.841236,-0.177232
385.983,19.9257,0.842821,-0.177718
387.402,19.9252,0.844402,-0.178203
388.821,19.9248,0.845981,-0.178687
390.24,19.9243,0.847557,-0.17917
391.659,19.9238,0.849131,-0.179653
393.078,19.9233,0.850702,-0.180135
394.497,19.9228,0.852271,-0.180615
395.916,19.9223,0.853838,-0.181095
397.335,19.9219,0.855403,-0.181574
398.754,19.9214,0.856964,-0.182052
400.174,19.9209,0.858523,-0.182529
401.593,19.9204,0.860078,-0.183005
403.012,19.9199,0.861631,-0.18348
404.431,19.9194,0.863182,-0.183954
405.85,19.9189,0.86473,-0.184427
407.269,19.9184,0.866275,-0.184898
408.688,19.9179,0.867818,-0.185369
410.107,19.9174,0.869359,-0.185838
411.526,19.9169,0.870897,-0.186306
412.945,19.9164,0.872433,-0.186774
414.364,19.9159,0.873966,-0.18724
415.783,19.9154,0.875497,-0.187705
417.202,19.9149,0.877026,-0.188169
418.621,19.9144,0.878553,-0.188632
420.04,19.9139,0.880078,-0.189095
421.459,19.9134,0.8816,-0.189556
422.878,19.9129,0.883121,-0.190016
424.297,19.9124,0.884639,-0.190476
425.717,19.9119,0.886155,-0.190935
427.136,19.9114,0.887669,-0.191393
428.555,19.9109,0.889181,-0.19185
429.974,19.9104,0.890691,-0.192305
431.393,19.9099,0.8922,-0.19276
432.812,19.9094,0.893706,-0.193214
434.231,19.9089,0.895211,-0.193667
435.65,19.9083,0.896714,-0.194119
437.069,19.9078,0.898214,-0.194569
438.488,19.9073,0.899713,-0.195019
439.907,19.9068,0.901211,-0.195468
441.326,19.9063,0.902707,-0.195916
442.745,19.9058,0.9042,-0.196362
444.164,19.9053,0.905693,-0.196808
445.583,19.9047,0.907183,-0.197252
447.002,19.9042,0.908672,-0.197696
448.421,19.9037,0.910159,-0.198138
449.84,19.9032,0.911645,-0.19858
451.26,19.9027,0.913129,-0.199021
